fichero,etiqueta_real
60149,comp.sys.ibm.pc.hardware
60150,comp.sys.ibm.pc.hardware
60151,comp.sys.ibm.pc.hardware
60152,comp.sys.ibm.pc.hardware
60153,comp.sys.ibm.pc.hardware
60154,comp.sys.ibm.pc.hardware
60155,comp.sys.ibm.pc.hardware
60156,comp.sys.ibm.pc.hardware
60157,comp.sys.ibm.pc.hardware
60158,comp.sys.ibm.pc.hardware
60159,comp.sys.ibm.pc.hardware
60160,comp.sys.ibm.pc.hardware
60161,comp.sys.ibm.pc.hardware
60162,comp.sys.ibm.pc.hardware
60163,comp.sys.ibm.pc.hardware
60164,comp.sys.ibm.pc.hardware
60165,comp.sys.ibm.pc.hardware
60166,comp.sys.ibm.pc.hardware
60167,comp.sys.ibm.pc.hardware
60168,comp.sys.ibm.pc.hardware
60169,comp.sys.ibm.pc.hardware
60170,comp.sys.ibm.pc.hardware
60171,comp.sys.ibm.pc.hardware
50470,comp.sys.mac.hardware
50471,comp.sys.mac.hardware
50472,comp.sys.mac.hardware
50473,comp.sys.mac.hardware
50474,comp.sys.mac.hardware
50475,comp.sys.mac.hardware
50476,comp.sys.mac.hardware
50477,comp.sys.mac.hardware
50478,comp.sys.mac.hardware
50479,comp.sys.mac.hardware
50480,comp.sys.mac.hardware
50482,comp.sys.mac.hardware
50483,comp.sys.mac.hardware
50484,comp.sys.mac.hardware
50485,comp.sys.mac.hardware
50486,comp.sys.mac.hardware
50487,comp.sys.mac.hardware
50488,comp.sys.mac.hardware
50489,comp.sys.mac.hardware
50490,comp.sys.mac.hardware
50491,comp.sys.mac.hardware
50492,comp.sys.mac.hardware
50493,comp.sys.mac.hardware
50494,comp.sys.mac.hardware
50495,comp.sys.mac.hardware
50496,comp.sys.mac.hardware
50497,comp.sys.mac.hardware
50498,comp.sys.mac.hardware
50499,comp.sys.mac.hardware
50500,comp.sys.mac.hardware
50501,comp.sys.mac.hardware
50502,comp.sys.mac.hardware
50503,comp.sys.mac.hardware
50504,comp.sys.mac.hardware
50505,comp.sys.mac.hardware
50506,comp.sys.mac.hardware
50507,comp.sys.mac.hardware
50508,comp.sys.mac.hardware
50509,comp.sys.mac.hardware
50510,comp.sys.mac.hardware
50511,comp.sys.mac.hardware
50512,comp.sys.mac.hardware
50513,comp.sys.mac.hardware
50514,comp.sys.mac.hardware
50515,comp.sys.mac.hardware
50516,comp.sys.mac.hardware
50517,comp.sys.mac.hardware
50518,comp.sys.mac.hardware
50519,comp.sys.mac.hardware
50520,comp.sys.mac.hardware
50521,comp.sys.mac.hardware
50522,comp.sys.mac.hardware
50523,comp.sys.mac.hardware
50524,comp.sys.mac.hardware
50525,comp.sys.mac.hardware
50526,comp.sys.mac.hardware
50527,comp.sys.mac.hardware
50528,comp.sys.mac.hardware
50529,comp.sys.mac.hardware
50530,comp.sys.mac.hardware
50531,comp.sys.mac.hardware
50532,comp.sys.mac.hardware
50533,comp.sys.mac.hardware
50534,comp.sys.mac.hardware
50535,comp.sys.mac.hardware
50536,comp.sys.mac.hardware
50537,comp.sys.mac.hardware
50538,comp.sys.mac.hardware
50539,comp.sys.mac.hardware
50540,comp.sys.mac.hardware
50541,comp.sys.mac.hardware
50542,comp.sys.mac.hardware
50543,comp.sys.mac.hardware
50544,comp.sys.mac.hardware
50545,comp.sys.mac.hardware
50546,comp.sys.mac.hardware
50547,comp.sys.mac.hardware
50548,comp.sys.mac.hardware
50549,comp.sys.mac.hardware
50550,comp.sys.mac.hardware
50551,comp.sys.mac.hardware
50552,comp.sys.mac.hardware
51084,comp.sys.mac.hardware
51492,comp.sys.mac.hardware
51493,comp.sys.mac.hardware
51494,comp.sys.mac.hardware
51495,comp.sys.mac.hardware
51496,comp.sys.mac.hardware
51497,comp.sys.mac.hardware
51498,comp.sys.mac.hardware
51499,comp.sys.mac.hardware
51500,comp.sys.mac.hardware
51501,comp.sys.mac.hardware
51502,comp.sys.mac.hardware
51503,comp.sys.mac.hardware
51504,comp.sys.mac.hardware
51505,comp.sys.mac.hardware
51506,comp.sys.mac.hardware
51507,comp.sys.mac.hardware
51508,comp.sys.mac.hardware
51509,comp.sys.mac.hardware
51510,comp.sys.mac.hardware
51511,comp.sys.mac.hardware
51512,comp.sys.mac.hardware
51513,comp.sys.mac.hardware
51514,comp.sys.mac.hardware
51515,comp.sys.mac.hardware
51516,comp.sys.mac.hardware
51517,comp.sys.mac.hardware
51518,comp.sys.mac.hardware
51519,comp.sys.mac.hardware
51520,comp.sys.mac.hardware
51521,comp.sys.mac.hardware
51522,comp.sys.mac.hardware
51523,comp.sys.mac.hardware
51524,comp.sys.mac.hardware
51525,comp.sys.mac.hardware
51526,comp.sys.mac.hardware
51527,comp.sys.mac.hardware
51528,comp.sys.mac.hardware
51529,comp.sys.mac.hardware
51530,comp.sys.mac.hardware
51531,comp.sys.mac.hardware
51532,comp.sys.mac.hardware
51533,comp.sys.mac.hardware
51534,comp.sys.mac.hardware
51535,comp.sys.mac.hardware
51536,comp.sys.mac.hardware
51537,comp.sys.mac.hardware
51538,comp.sys.mac.hardware
51539,comp.sys.mac.hardware
51540,comp.sys.mac.hardware
51541,comp.sys.mac.hardware
51542,comp.sys.mac.hardware
51543,comp.sys.mac.hardware
51544,comp.sys.mac.hardware
51545,comp.sys.mac.hardware
51546,comp.sys.mac.hardware
51547,comp.sys.mac.hardware
51548,comp.sys.mac.hardware
51549,comp.sys.mac.hardware
51550,comp.sys.mac.hardware
51551,comp.sys.mac.hardware
51552,comp.sys.mac.hardware
51553,comp.sys.mac.hardware
51554,comp.sys.mac.hardware
101551,rec.autos
101552,rec.autos
101553,rec.autos
101554,rec.autos
101555,rec.autos
101556,rec.autos
101557,rec.autos
101558,rec.autos
101559,rec.autos
101560,rec.autos
101561,rec.autos
101562,rec.autos
101563,rec.autos
101564,rec.autos
101565,rec.autos
101566,rec.autos
101567,rec.autos
101568,rec.autos
101569,rec.autos
101570,rec.autos
101571,rec.autos
101572,rec.autos
101573,rec.autos
101574,rec.autos
101575,rec.autos
101576,rec.autos
101577,rec.autos
101578,rec.autos
101579,rec.autos
101580,rec.autos
101581,rec.autos
101582,rec.autos
101583,rec.autos
101584,rec.autos
101585,rec.autos
101586,rec.autos
101587,rec.autos
101588,rec.autos
101589,rec.autos
101590,rec.autos
101591,rec.autos
101592,rec.autos
101593,rec.autos
101594,rec.autos
101595,rec.autos
101596,rec.autos
101597,rec.autos
101598,rec.autos
101599,rec.autos
101600,rec.autos
101601,rec.autos
101602,rec.autos
101603,rec.autos
101604,rec.autos
101605,rec.autos
101606,rec.autos
101607,rec.autos
101608,rec.autos
101609,rec.autos
101610,rec.autos
101611,rec.autos
52550,rec.sport.hockey
52551,rec.sport.hockey
52552,rec.sport.hockey
52553,rec.sport.hockey
52554,rec.sport.hockey
52555,rec.sport.hockey
52556,rec.sport.hockey
52557,rec.sport.hockey
52558,rec.sport.hockey
52559,rec.sport.hockey
52560,rec.sport.hockey
52561,rec.sport.hockey
52562,rec.sport.hockey
52563,rec.sport.hockey
52564,rec.sport.hockey
52565,rec.sport.hockey
52566,rec.sport.hockey
52567,rec.sport.hockey
52568,rec.sport.hockey
52569,rec.sport.hockey
52570,rec.sport.hockey
52571,rec.sport.hockey
52572,rec.sport.hockey
52573,rec.sport.hockey
52574,rec.sport.hockey
52575,rec.sport.hockey
52576,rec.sport.hockey
52577,rec.sport.hockey
52578,rec.sport.hockey
52579,rec.sport.hockey
52580,rec.sport.hockey
52581,rec.sport.hockey
52582,rec.sport.hockey
52583,rec.sport.hockey
52584,rec.sport.hockey
52585,rec.sport.hockey
52586,rec.sport.hockey
52587,rec.sport.hockey
52588,rec.sport.hockey
52589,rec.sport.hockey
52590,rec.sport.hockey
52591,rec.sport.hockey
52592,rec.sport.hockey
52593,rec.sport.hockey
52594,rec.sport.hockey
52595,rec.sport.hockey
52596,rec.sport.hockey
52597,rec.sport.hockey
52598,rec.sport.hockey
52599,rec.sport.hockey
52747,sci.electronics
52748,sci.electronics
52749,sci.electronics
52750,sci.electronics
52751,sci.electronics
52752,sci.electronics
52753,sci.electronics
52754,sci.electronics
52755,sci.electronics
52756,sci.electronics
52757,sci.electronics
52758,sci.electronics
52759,sci.electronics
52760,sci.electronics
52761,sci.electronics
52762,sci.electronics
52763,sci.electronics
52764,sci.electronics
52765,sci.electronics
52766,sci.electronics
52767,sci.electronics
52768,sci.electronics
52769,sci.electronics
52770,sci.electronics
52771,sci.electronics
52772,sci.electronics
52773,sci.electronics
52774,sci.electronics
52775,sci.electronics
52776,sci.electronics
52777,sci.electronics
52778,sci.electronics
52779,sci.electronics
52780,sci.electronics
52781,sci.electronics
52782,sci.electronics
52783,sci.electronics
52784,sci.electronics
52785,sci.electronics
52786,sci.electronics
52787,sci.electronics
52788,sci.electronics
52789,sci.electronics
52790,sci.electronics
52791,sci.electronics
52792,sci.electronics
52793,sci.electronics
52794,sci.electronics
52795,sci.electronics
52796,sci.electronics
52797,sci.electronics
52798,sci.electronics
52799,sci.electronics
52800,sci.electronics
52801,sci.electronics
52802,sci.electronics
52803,sci.electronics
52804,sci.electronics
52805,sci.electronics
52806,sci.electronics
52807,sci.electronics
52808,sci.electronics
52809,sci.electronics
52810,sci.electronics
52811,sci.electronics
52812,sci.electronics
52813,sci.electronics
52814,sci.electronics
52815,sci.electronics
52816,sci.electronics
52817,sci.electronics
52818,sci.electronics
52819,sci.electronics
52820,sci.electronics
52821,sci.electronics
52822,sci.electronics
52823,sci.electronics
52824,sci.electronics
52825,sci.electronics
52826,sci.electronics
52827,sci.electronics
52828,sci.electronics
52829,sci.electronics
52830,sci.electronics
52831,sci.electronics
53128,sci.electronics
53502,sci.electronics
53503,sci.electronics
53504,sci.electronics
53505,sci.electronics
53506,sci.electronics
53507,sci.electronics
53508,sci.electronics
53509,sci.electronics
53510,sci.electronics
53511,sci.electronics
53512,sci.electronics
53513,sci.electronics
53514,sci.electronics
53515,sci.electronics
53516,sci.electronics
53517,sci.electronics
53518,sci.electronics
53519,sci.electronics
53520,sci.electronics
53521,sci.electronics
53522,sci.electronics
53523,sci.electronics
53524,sci.electronics
53525,sci.electronics
53526,sci.electronics
53527,sci.electronics
53528,sci.electronics
53529,sci.electronics
53530,sci.electronics
53531,sci.electronics
53532,sci.electronics
53533,sci.electronics
53534,sci.electronics
53535,sci.electronics
53536,sci.electronics
53537,sci.electronics
53538,sci.electronics
53539,sci.electronics
53540,sci.electronics
53541,sci.electronics
53542,sci.electronics
53543,sci.electronics
53544,sci.electronics
53545,sci.electronics
53546,sci.electronics
53547,sci.electronics
53548,sci.electronics
53549,sci.electronics
53550,sci.electronics
53551,sci.electronics
53552,sci.electronics
53553,sci.electronics
53554,sci.electronics
53555,sci.electronics
53556,sci.electronics
53557,sci.electronics
53558,sci.electronics
53559,sci.electronics
53560,sci.electronics
53561,sci.electronics
53562,sci.electronics
53563,sci.electronics
53564,sci.electronics
53565,sci.electronics
53566,sci.electronics
53567,sci.electronics
53568,sci.electronics
53569,sci.electronics
53570,sci.electronics
53571,sci.electronics
53572,sci.electronics
53573,sci.electronics
53574,sci.electronics
53575,sci.electronics
53576,sci.electronics
53577,sci.electronics
53578,sci.electronics
53579,sci.electronics
53580,sci.electronics
53581,sci.electronics
53582,sci.electronics
53583,sci.electronics
53584,sci.electronics
53585,sci.electronics
53586,sci.electronics
53587,sci.electronics
53588,sci.electronics
53589,sci.electronics
53590,sci.electronics
53591,sci.electronics
53592,sci.electronics
53593,sci.electronics
53594,sci.electronics
53595,sci.electronics
53596,sci.electronics
53597,sci.electronics
53598,sci.electronics
53599,sci.electronics
53600,sci.electronics
53601,sci.electronics
53602,sci.electronics
53603,sci.electronics
53604,sci.electronics
53605,sci.electronics
53606,sci.electronics
53607,sci.electronics
53608,sci.electronics
53609,sci.electronics
53610,sci.electronics
53611,sci.electronics
53612,sci.electronics
53613,sci.electronics
53614,sci.electronics
53615,sci.electronics
53616,sci.electronics
53617,sci.electronics
53618,sci.electronics
53619,sci.electronics
53620,sci.electronics
53621,sci.electronics
53622,sci.electronics
53623,sci.electronics
53624,sci.electronics
53625,sci.electronics
53626,sci.electronics
54193,talk.politics.guns
54194,talk.politics.guns
54195,talk.politics.guns
54196,talk.politics.guns
54197,talk.politics.guns
54198,talk.politics.guns
54199,talk.politics.guns
54200,talk.politics.guns
54201,talk.politics.guns
54202,talk.politics.guns
54203,talk.politics.guns
54204,talk.politics.guns
54205,talk.politics.guns
54206,talk.politics.guns
54207,talk.politics.guns
54208,talk.politics.guns
54209,talk.politics.guns
54210,talk.politics.guns
54211,talk.politics.guns
54212,talk.politics.guns
54213,talk.politics.guns
54214,talk.politics.guns
54215,talk.politics.guns
54216,talk.politics.guns
54217,talk.politics.guns
54218,talk.politics.guns
54219,talk.politics.guns
54220,talk.politics.guns
54221,talk.politics.guns
54222,talk.politics.guns
54223,talk.politics.guns
54224,talk.politics.guns
54225,talk.politics.guns
54226,talk.politics.guns
54227,talk.politics.guns
54228,talk.politics.guns
54229,talk.politics.guns
54230,talk.politics.guns
54231,talk.politics.guns
54232,talk.politics.guns
54233,talk.politics.guns
54234,talk.politics.guns
54235,talk.politics.guns
54236,talk.politics.guns
54237,talk.politics.guns
54238,talk.politics.guns
54239,talk.politics.guns
54240,talk.politics.guns
54241,talk.politics.guns
54242,talk.politics.guns
54243,talk.politics.guns
54244,talk.politics.guns
54245,talk.politics.guns
54246,talk.politics.guns
54247,talk.politics.guns
54248,talk.politics.guns
54249,talk.politics.guns
54250,talk.politics.guns
54251,talk.politics.guns
54252,talk.politics.guns
54253,talk.politics.guns
54254,talk.politics.guns
54255,talk.politics.guns
54256,talk.politics.guns
54257,talk.politics.guns
54258,talk.politics.guns
54259,talk.politics.guns
54260,talk.politics.guns
54261,talk.politics.guns
54262,talk.politics.guns
54263,talk.politics.guns
54264,talk.politics.guns
54265,talk.politics.guns
54266,talk.politics.guns
54267,talk.politics.guns
54268,talk.politics.guns
54269,talk.politics.guns
54270,talk.politics.guns
54271,talk.politics.guns
54272,talk.politics.guns
54273,talk.politics.guns
54274,talk.politics.guns
54275,talk.politics.guns
54276,talk.politics.guns
54277,talk.politics.guns
54278,talk.politics.guns
54279,talk.politics.guns
54280,talk.politics.guns
54281,talk.politics.guns
54282,talk.politics.guns
54283,talk.politics.guns
54284,talk.politics.guns
54285,talk.politics.guns
54286,talk.politics.guns
54287,talk.politics.guns
54288,talk.politics.guns
54289,talk.politics.guns
54290,talk.politics.guns
54291,talk.politics.guns
54292,talk.politics.guns
54293,talk.politics.guns
54294,talk.politics.guns
54295,talk.politics.guns
54296,talk.politics.guns
54297,talk.politics.guns
54298,talk.politics.guns
54299,talk.politics.guns
54300,talk.politics.guns
54301,talk.politics.guns
54302,talk.politics.guns
54303,talk.politics.guns
54304,talk.politics.guns
54305,talk.politics.guns
54306,talk.politics.guns
54307,talk.politics.guns
54308,talk.politics.guns
54309,talk.politics.guns
54310,talk.politics.guns
54311,talk.politics.guns
54312,talk.politics.guns
54313,talk.politics.guns
54314,talk.politics.guns
54315,talk.politics.guns
54316,talk.politics.guns
54317,talk.politics.guns
54318,talk.politics.guns
54319,talk.politics.guns
54320,talk.politics.guns
54321,talk.politics.guns
54322,talk.politics.guns
54323,talk.politics.guns
54324,talk.politics.guns
54325,talk.politics.guns
54326,talk.politics.guns
54327,talk.politics.guns
54328,talk.politics.guns
54329,talk.politics.guns
54330,talk.politics.guns
54331,talk.politics.guns
54332,talk.politics.guns
54333,talk.politics.guns
75364,talk.politics.mideast
75365,talk.politics.mideast
75366,talk.politics.mideast
75367,talk.politics.mideast
75369,talk.politics.mideast
75370,talk.politics.mideast
75371,talk.politics.mideast
75372,talk.politics.mideast
75373,talk.politics.mideast
75374,talk.politics.mideast
75375,talk.politics.mideast
75376,talk.politics.mideast
75377,talk.politics.mideast
75378,talk.politics.mideast
75379,talk.politics.mideast
75381,talk.politics.mideast
75382,talk.politics.mideast
75383,talk.politics.mideast
75384,talk.politics.mideast
75385,talk.politics.mideast
75386,talk.politics.mideast
75387,talk.politics.mideast
75388,talk.politics.mideast
75389,talk.politics.mideast
75390,talk.politics.mideast
75391,talk.politics.mideast
75392,talk.politics.mideast
75393,talk.politics.mideast
75394,talk.politics.mideast
75395,talk.politics.mideast
75396,talk.politics.mideast
75397,talk.politics.mideast
75398,talk.politics.mideast
75399,talk.politics.mideast
75400,talk.politics.mideast
75401,talk.politics.mideast
75402,talk.politics.mideast
75403,talk.politics.mideast
75404,talk.politics.mideast
75405,talk.politics.mideast
75406,talk.politics.mideast
75407,talk.politics.mideast
75408,talk.politics.mideast
75409,talk.politics.mideast
75410,talk.politics.mideast
75411,talk.politics.mideast
75412,talk.politics.mideast
75413,talk.politics.mideast
75414,talk.politics.mideast
75415,talk.politics.mideast
75416,talk.politics.mideast
75417,talk.politics.mideast
75418,talk.politics.mideast
75419,talk.politics.mideast
75420,talk.politics.mideast
75421,talk.politics.mideast
75422,talk.politics.mideast
75423,talk.politics.mideast
75873,talk.politics.mideast
75874,talk.politics.mideast
75875,talk.politics.mideast
75876,talk.politics.mideast
75877,talk.politics.mideast
75878,talk.politics.mideast
75879,talk.politics.mideast
75880,talk.politics.mideast
75881,talk.politics.mideast
75882,talk.politics.mideast
75883,talk.politics.mideast
75884,talk.politics.mideast
75885,talk.politics.mideast
75886,talk.politics.mideast
